	Gene1	Gene2	Annotation	Direction	Score
3019	CEBPB	LY96	predicted	-	0.64
3020	CEBPB	LYZ	expression regulates	->	1
3021	CEBPB	MAGEA2	expression regulates	->	1
3022	CEBPB	MAP3K11	activated by	<-	1
3023	CEBPB	MAPK1	activated by; catalyzed by	<-	1
3024	CEBPB	MAPK11	PPrel: activated by; activated by	<-	1
3025	CEBPB	MAPK12	PPrel: activated by	<-	1
3026	CEBPB	MAPK13	PPrel: activated by	<-	1
3027	CEBPB	MAPK14	PPrel: activated by; activated by; interaction	<-	1
3028	CEBPB	MAPK3	activated by; catalyzed by	<-	1
3029	CEBPB	MDM4	expression regulates	->	1
3030	CEBPB	MED1	reaction	-	1
3031	CEBPB	MED10	reaction	-	1
3032	CEBPB	MED11	reaction	-	1
3033	CEBPB	MED12	reaction	-	1
3034	CEBPB	MED13	reaction	-	1
3035	CEBPB	MED13L	reaction	-	1
3036	CEBPB	MED14	reaction	-	1
3037	CEBPB	MED15	reaction	-	1
3038	CEBPB	MED16	reaction	-	1
3039	CEBPB	MED17	reaction	-	1
3040	CEBPB	MED18	reaction	-	1
3041	CEBPB	MED19	reaction	-	1
3042	CEBPB	MED20	reaction	-	1
3043	CEBPB	MED21	reaction	-	1
3044	CEBPB	MED22	reaction	-	1
3045	CEBPB	MED23	reaction	-	1
3046	CEBPB	MED24	reaction	-	1
3047	CEBPB	MED25	reaction	-	1
3048	CEBPB	MED26	reaction	-	1
3049	CEBPB	MED27	reaction	-	1
3050	CEBPB	MED28	reaction	-	1
3051	CEBPB	MED29	reaction	-	1
3052	CEBPB	MED30	reaction	-	1
3053	CEBPB	MED31	reaction	-	1
3054	CEBPB	MED4	reaction	-	1
3055	CEBPB	MED6	reaction	-	1
3056	CEBPB	MED7	reaction	-	1
3057	CEBPB	MED8	reaction	-	1
3058	CEBPB	MED9	reaction	-	1
3059	CEBPB	MEFV	expression regulates	->	1
3060	CEBPB	MEIS1	expression regulates	->	1
3061	CEBPB	MGST2	expression regulates	->	1
3062	CEBPB	MHC2TA	PPrel: inhibition	-|	1
3063	CEBPB	MIA	expression regulates	->	1
3064	CEBPB	MLLT11	expression regulates	->	1
3065	CEBPB	MMP19	expression regulates	->	1
3066	CEBPB	MSH2	expression regulates	->	1
3067	CEBPB	MTF2	expression regulates	->	1
3068	CEBPB	MXD1	predicted	-	0.64
3069	CEBPB	MYB	activate; inhibited by; reaction	|->	1
3070	CEBPB	MYBL1	activate; inhibited by	|->	1
3071	CEBPB	MYC	predicted	-	0.54
3072	CEBPB	NCOA1	reaction	-	1
3073	CEBPB	NCOA2	reaction	-	1
3074	CEBPB	NCOA3	reaction	-	1
3075	CEBPB	NCOR2	predicted	-	0.99
3076	CEBPB	NFE2	expression regulates	->	1
3077	CEBPB	NFE2L2	expression regulates	->	1
3078	CEBPB	NFIL3	expression regulates	->	1
3079	CEBPB	NFKB1	GErel: expression by; activate; complex; inhibited by; input	->	1
3080	CEBPB	NFKBIA	expression regulates	->	1
3081	CEBPB	NFX1	expression regulates	->	1
3082	CEBPB	NOLC1	predicted	-	0.64
3083	CEBPB	NOP53	expression regulates	->	1
3084	CEBPB	NOS2	predicted	-	0.54
3085	CEBPB	NOTCH3	expression regulates	->	1
3086	CEBPB	NPAS1	expression regulates	->	1
3087	CEBPB	NR0B2	expression regulates	->	1
3088	CEBPB	NR2F2	activate; inhibited by	|->	1
3089	CEBPB	NR5A1	predicted	-	0.54
3090	CEBPB	NR5A2	predicted	-	0.54
3091	CEBPB	NRF1	predicted	-	0.64
3092	CEBPB	NUP133	expression regulates	->	1
3093	CEBPB	NUP35	expression regulates	->	1
3094	CEBPB	PBX1	expression regulates	->	1
3095	CEBPB	PCNA	expression regulates	->	1
3096	CEBPB	PCYT1B	expression regulates	->	1
3097	CEBPB	PIAS1	predicted	-	0.54
3098	CEBPB	PIAS2	predicted	-	0.54
3099	CEBPB	PIAS3	predicted	-	0.54
3100	CEBPB	PIAS4	predicted	-	0.54
3101	CEBPB	PICALM	expression regulates	->	1
3102	CEBPB	PIM1	expression regulates; reaction	->	1
3103	CEBPB	PLAC8	predicted	-	0.54
3104	CEBPB	POLR2B	expression regulates	->	1
3105	CEBPB	POU5F1	expression regulates	->	1
3106	CEBPB	PPARG	predicted; reaction	-	1
3107	CEBPB	PPARGC1A	reaction	-	1
3108	CEBPB	PPARGC1B	predicted	-	0.54
3109	CEBPB	PPP2CA	expression regulates	->	1
3110	CEBPB	PPRC1	predicted	-	0.54
3111	CEBPB	PRDM1	predicted	-	0.64
3112	CEBPB	PRDM16	predicted	-	0.54
3113	CEBPB	PRG2	predicted	-	0.64
3114	CEBPB	PRMT5	expression regulates	->	1
3115	CEBPB	PTGES2	complex; input; predicted	-	1
3116	CEBPB	PTGS1	expression regulates	->	1
3117	CEBPB	PTGS2	predicted	-	0.64
3118	CEBPB	PXDN	expression regulates	->	1
3119	CEBPB	RARB	predicted	-	0.64
3120	CEBPB	RB1	reaction	-	1
3121	CEBPB	RBL1	predicted	-	0.54
3122	CEBPB	RBPJ	expression regulates	->	1
3123	CEBPB	REL	predicted	-	0.64
3124	CEBPB	RELA	GErel: expression by; activate; complex; inhibited by; input	->	1
3125	CEBPB	RGS1	expression regulates	->	1
3126	CEBPB	RORA	predicted	-	0.54
3127	CEBPB	RPS6KA1	catalyzed by	<-	1
3128	CEBPB	RPS6KA2	catalyzed by	<-	1
3129	CEBPB	RPS6KA3	catalyzed by	<-	1
3130	CEBPB	RRAGD	expression regulates	->	1
3131	CEBPB	RXRA	reaction	-	1
3132	CEBPB	SAA1	expression regulates	->	1
3133	CEBPB	SAA2	expression regulates	->	1
3134	CEBPB	SAA4	predicted	-	0.54
3135	CEBPB	SARS	expression regulates	->	1
3136	CEBPB	SBNO1	expression regulates	->	1
3137	CEBPB	SEC16A	expression regulates	->	1
3138	CEBPB	SERPINA1	expression regulates	->	1
3139	CEBPB	SESN2	expression regulates	->	1
3140	CEBPB	SETD3	expression regulates	->	1
3141	CEBPB	SFRP1	expression regulates	->	1
3142	CEBPB	SFTPD	expression regulates	->	1
3143	CEBPB	SLC2A4RG	expression regulates	->	1
3144	CEBPB	SLC40A1	expression regulates	->	1
3145	CEBPB	SMAD2	complex; input	-	1
3146	CEBPB	SMAD3	complex; expression regulates; input	->	1
3147	CEBPB	SMAD4	complex; expression regulates; input	->	1
3148	CEBPB	SMAD6	expression regulates	->	1
3149	CEBPB	SMARCA2	complex; input	-	1
3150	CEBPB	SMARCA5	predicted	-	0.64
3151	CEBPB	SMARCC1	predicted	-	0.64
3152	CEBPB	SMYD3	expression regulates	->	1
3153	CEBPB	SND1	reaction	-	1
3154	CEBPB	SP3	predicted	-	0.64
3155	CEBPB	SP5	expression regulates	->	1
3156	CEBPB	SPI1	expression regulates; reaction	->	1
3157	CEBPB	SPIB	predicted	-	0.64
3158	CEBPB	SREBF1	reaction	-	1
3159	CEBPB	SREBF2	reaction	-	1
3160	CEBPB	SRF	predicted	-	0.64
3161	CEBPB	STAT3	complex; input; reaction	-	1
3162	CEBPB	STAT5A	expression regulates	->	1
3163	CEBPB	STAT5B	expression regulates	->	1
3164	CEBPB	STAT6	reaction	-	1
3165	CEBPB	TAF9	expression regulates	->	1
3166	CEBPB	TAL1	expression regulates	->	1
3167	CEBPB	TCF12	expression regulates	->	1
3168	CEBPB	TESC	expression regulates	->	1
3169	CEBPB	TF	expression regulates	->	1
3170	CEBPB	TFPI	expression regulates	->	1
3171	CEBPB	TGFB1	activate; expression regulates; inhibited by	|->	1
3172	CEBPB	THBS1	expression regulates	->	1
3173	CEBPB	THRAP3	reaction	-	1
3174	CEBPB	TLR10	expression regulates	->	1
3175	CEBPB	TLR6	expression regulates	->	1
3176	CEBPB	TLR7	expression regulates	->	1
3177	CEBPB	TLR8	predicted	-	0.64
3178	CEBPB	TNF	expression regulates	->	1
3179	CEBPB	TNFAIP3	predicted	-	0.54
3180	CEBPB	TNFAIP6	expression regulates	->	1
3181	CEBPB	TNFSF14	expression regulates	->	1
3182	CEBPB	TP53	predicted	-	0.64
3183	CEBPB	TRIB1	predicted	-	0.77
3184	CEBPB	TRIB3	activate; expression regulates; inhibited by	|->	1
3185	CEBPB	TRIM26	expression regulates	->	1
3186	CEBPB	TRIM28	predicted	-	0.64
3187	CEBPB	UBE2C	reaction	-	1
3188	CEBPB	UBE2D1	reaction	-	1
3189	CEBPB	UBE2E1	reaction	-	1
3190	CEBPB	UBQLN1	expression regulates	->	1
3191	CEBPB	UGT1A10	expression regulates	->	1
3192	CEBPB	VENTX	activate; inhibited by	|->	1
3193	CEBPB	VIM	expression regulates	->	1
3194	CEBPB	WBP2	expression regulates	->	1
3195	CEBPB	XCL1	predicted	-	0.54
3196	CEBPB	XCL2	predicted	-	0.54
3197	CEBPB	XPO1	predicted	-	0.54
3198	CEBPB	XRN2	expression regulates	->	1
3199	CEBPB	YY1AP1	expression regulates	->	1
3200	CEBPB	ZBED9	expression regulates	->	1
3201	CEBPB	ZBTB7A	expression regulated by	<-	1
3202	CEBPB	ZIM2	expression regulates	->	1
3203	CEBPB	ZMIZ1	predicted	-	0.54
3204	CEBPB	ZMIZ2	predicted	-	0.54
3205	CEBPB	ZNF131	expression regulates	->	1
3206	CEBPB	ZNF175	expression regulates	->	1
3207	CEBPB	ZNF280A	expression regulates	->	1
3208	CEBPB	ZNF280D	expression regulates	->	1
3209	CEBPB	ZNF460	expression regulates	->	1
3210	CEBPB	ZNF467	reaction	-	1
3211	CEBPB	ZNF587	expression regulates	->	1
3212	CEBPB	ZNF595	expression regulates	->	1
3213	CEBPB	ZNF638	reaction	-	1
3214	CEBPB	ZNF69	expression regulates	->	1
3215	CEBPB	ZNF718	expression regulates	->	1
3216	CEBPB	ZNF805	expression regulates	->	1
3217	CEBPE	ELANE	predicted	-	0.64
3218	CEBPZ	NOP2	predicted	-	0.73
3219	CEBPZ	RPL18	predicted	-	0.73
3220	CEL	USF2	expression regulated by	<-	1
3221	CELSR2	CRK	predicted	-	0.64
3222	CEMIP	HSPA5	predicted	-	0.64
3223	CENPA	CENPC	complex; input	-	1
3224	CENPA	DDX17	predicted	-	0.73
3225	CENPA	EIF4A1	predicted	-	0.64
3226	CENPC	CENPE	complex; input	-	1
3227	CENPC	CENPF	complex; input	-	1
3228	CENPC	CENPH	complex; input	-	1
3229	CENPC	CENPI	complex; input	-	1
3230	CENPC	CENPK	complex; input	-	1
3231	CENPC	CENPL	complex; input	-	1
3232	CENPC	CENPM	complex; input	-	1
3233	CENPC	CENPN	complex; input	-	1
3234	CENPC	CENPO	complex; input	-	1
3235	CENPC	CENPP	complex; input	-	1
3236	CENPC	CENPQ	complex; input	-	1
3237	CENPC	CENPS	complex; input	-	1
3238	CENPC	CENPT	complex; input	-	1
3239	CENPC	CENPU	complex; input	-	1
3240	CENPC	CENPW	complex	-	1
3241	CENPC	CENPX	complex	-	1
3242	CENPC	CKAP5	complex; input	-	1
3243	CENPC	CLASP1	complex; input	-	1
3244	CENPC	CLASP2	complex; input	-	1
3245	CENPC	CLIP1	complex; input	-	1
3246	CENPC	DIAPH2	complex; input; reaction	-	1
3247	CENPC	DSN1	complex; input	-	1
3248	CENPC	DYNC1H1	complex; input	-	1
3249	CENPC	DYNC1I1	complex; input	-	1
3250	CENPC	DYNC1I2	complex; input	-	1
3251	CENPC	DYNC1LI1	complex; input	-	1
3252	CENPC	DYNC1LI2	complex; input	-	1
3253	CENPC	DYNLL1	complex; input	-	1
3254	CENPC	DYNLL2	complex; input	-	1
3255	CENPC	EML4	complex; input	-	1
3256	CENPC	ERCC6L	complex; input	-	1
3257	CENPC	ESPL1	catalyzed by	<-	1
3258	CENPC	H2BC4	predicted	-	0.73
3259	CENPC	H4C1	complex; input	-	1
3260	CENPC	HJURP	complex; input	-	1
3261	CENPC	INCENP	complex; input	-	1
3262	CENPC	ITGB3BP	complex; input	-	1
3263	CENPC	KIF18A	complex; input	-	1
3264	CENPC	KIF2A	complex; input	-	1
3265	CENPC	KIF2B	complex; input	-	1
3266	CENPC	KIF2C	complex; input	-	1
3267	CENPC	KNL1	complex; input	-	1
3268	CENPC	KNTC1	complex; input	-	1
3269	CENPC	MAD1L1	complex; input	-	1
3270	CENPC	MAD2L1	complex; input	-	1
3271	CENPC	MAPRE1	complex; input	-	1
3272	CENPC	MIS12	complex; input	-	1
3273	CENPC	MIS18A	complex; input	-	1
3274	CENPC	MIS18BP1	complex; input	-	1
3275	CENPC	NDC80	complex; input	-	1
3276	CENPC	NDE1	complex; input	-	1
3277	CENPC	NDEL1	complex; input	-	1
3278	CENPC	NPM1	complex; input	-	1
3279	CENPC	NSL1	complex; input	-	1
3280	CENPC	NUDC	complex; input	-	1
3281	CENPC	NUF2	complex; input	-	1
3282	CENPC	NUP107	complex; input	-	1
3283	CENPC	NUP133	complex; input	-	1
3284	CENPC	NUP160	complex; input	-	1
3285	CENPC	NUP37	complex; input	-	1
3286	CENPC	NUP43	complex; input	-	1
3287	CENPC	NUP85	complex; input	-	1
3288	CENPC	NUP98	complex; input	-	1
3289	CENPC	OIP5	complex; input	-	1
3290	CENPC	PAFAH1B1	complex; input	-	1
3291	CENPC	PDS5A	complex; input	-	1
3292	CENPC	PDS5B	complex; input	-	1
3293	CENPC	PLK1	catalyzed by; complex; input	<-	1
3294	CENPC	PMF1	complex; input	-	1
3295	CENPC	PPP1CC	complex; input	-	1
3296	CENPC	PTEN	predicted	-	0.77
3297	CENPC	RAD21	complex; input	-	1
3298	CENPC	RANBP2	complex; input	-	1
3299	CENPC	RANGAP1	complex; input	-	1
3300	CENPC	RBBP4	complex; input	-	1
3301	CENPC	RBBP7	complex; input	-	1
3302	CENPC	RCC2	complex; input	-	1
3303	CENPC	RPS27	complex; input	-	1
3304	CENPC	RSF1	complex; input	-	1
3305	CENPC	RUVBL1	complex; input	-	1
3306	CENPC	SEC13	complex; input	-	1
3307	CENPC	SEH1L	complex; input	-	1
3308	CENPC	SGO1	complex; input	-	1
3309	CENPC	SGO2	complex; input	-	1
3310	CENPC	SKA1	complex; input	-	1
3311	CENPC	SKA2	complex; input	-	1
3312	CENPC	SMARCA5	complex; input	-	1
3313	CENPC	SMC1A	complex; input	-	1
3314	CENPC	SMC3	complex; input	-	1
3315	CENPC	SPC24	complex; input	-	1
3316	CENPC	SPC25	complex; input	-	1
3317	CENPC	SPDL1	complex; input	-	1
3318	CENPC	STAG1	complex; input	-	1
3319	CENPC	STAG2	complex; input	-	1
3320	CENPC	TAOK1	complex; input	-	1
3321	CENPC	WAPL	complex; input	-	1
3322	CENPC	XPO1	complex; input	-	1
3323	CENPC	ZW10	complex; input	-	1
3324	CENPC	ZWILCH	complex; input	-	1
3325	CENPC	ZWINT	complex; input	-	1
3326	CENPE	RAB1B	complex; input	-	1
3327	CERS2	CERS3	predicted	-	0.96
3328	CERS2	CERS4	predicted	-	0.96
3329	CERS2	CERS5	predicted	-	0.96
3330	CERS2	CERS6	predicted	-	0.96
3331	CERS2	ELOVL1	predicted	-	0.99
3332	CERS2	ELOVL2	predicted	-	0.73
3333	CERS2	ELOVL3	predicted	-	0.73
3334	CERS2	ELOVL4	predicted	-	0.73
3335	CERS2	ELOVL5	predicted	-	0.73
3336	CERS2	ELOVL6	predicted	-	0.73
3337	CERS2	HSP90AA1	predicted	-	0.73
3338	CETN2	DDB2	complex; input	-	1
3339	CFAP20	CLASRP	predicted	-	0.78
3340	CFTR	RAB27A	predicted	-	0.64
3341	CFTR	VTI1B	predicted	-	0.64
3342	CGA	GNAS	complex	-	1
3343	CGA	USF2	expression regulated by	<-	1
3344	CHAF1A	SNW1	reaction	-	1
3345	CHCHD1	ERAL1	complex	-	1
3346	CHCHD1	MRPL2	catalyze; complex; input	->	1
3347	CHCHD1	MRPL53	catalyze; complex; input	->	1
3348	CHCHD1	MRPS14	complex	-	1
3349	CHCHD1	MRPS26	complex	-	1
3350	CHD1	EGR1	predicted	-	0.64
3351	CHD1	H3C1	predicted	-	0.77
3352	CHD1	HDAC1	predicted	-	0.64
3353	CHD1	HIST3H3	predicted	-	0.77
3354	CHD1	KDM1A	predicted	-	0.64
3355	CHD1	MLLT1	predicted	-	0.64
3356	CHD1L	DDB2	complex; input	-	1
3357	CHD3	GATAD2B	complex; input	-	1
3358	CHD4	GATAD2B	complex; input	-	1
3359	CHD5	GATAD2B	predicted	-	0.77
3360	CHEK1	KAT5	complex; input	-	1
3361	CHEK2	KAT5	catalyze; complex; input	->	1
3362	CHERP	CLP1	complex; input	-	1
3363	CHERP	CPSF7	complex; input	-	1
3364	CHERP	HNRNPA3	complex; input	-	1
3365	CHERP	PRPF4	complex; input	-	1
3366	CHERP	SMNDC1	complex	-	1
3367	CHERP	SNRNP40	complex; input	-	1
3368	CHERP	SNW1	complex; input	-	1
3369	CHERP	SRSF4	complex; input	-	1
3370	CHERP	SRSF6	complex; input	-	1
3371	CHERP	SYF2	complex; input	-	1
3372	CHGA	USF2	expression regulated by	<-	1
3373	CHI3L1	SP3	expression regulated by	<-	1
3374	CHM	DENND1C	catalyzed by	<-	1
3375	CHM	RAB1B	complex; input	-	1
3376	CHM	RAB27A	complex	-	1
3377	CHML	DENND1C	catalyzed by	<-	1
3378	CHML	RAB1B	complex; input	-	1
3379	CHML	RAB27A	complex	-	1
3380	CHMP1A	CHMP1B	predicted	-	1
3381	CHMP1B	CHMP2A	PPrel: binding/association; predicted	-	1
3382	CHMP1B	CHMP2B	PPrel: binding/association; predicted	-	1
3383	CHMP1B	CHMP3	predicted	-	1
3384	CHMP1B	CHMP4B	predicted	-	1
3385	CHMP1B	CHMP4C	predicted	-	0.98
3386	CHMP1B	CHMP5	predicted	-	1
3387	CHMP1B	IST1	predicted	-	1
3388	CHMP1B	KNSTRN	predicted	-	0.64
3389	CHMP1B	MITD1	predicted	-	0.64
3390	CHMP1B	MLKL	PPrel: binding/association	-	1
3391	CHMP1B	RAB11A	predicted	-	0.64
3392	CHMP1B	STAMBP	predicted	-	0.78
3393	CHMP1B	VPS4A	PPrel: binding/association	-	1
3394	CHMP1B	VPS4B	PPrel: binding/association; predicted	-	1
3395	CHMP1B	VTA1	PPrel: binding/association	-	1
3396	CHMP2A	PIK3C3	reaction	-	1
3397	CHMP2B	PIK3C3	reaction	-	1
3398	CHMP3	PIK3C3	reaction	-	1
3399	CHMP4A	PIK3C3	reaction	-	1
3400	CHMP4B	FLOT2	predicted	-	0.78
3401	CHMP4B	PIK3C3	reaction	-	1
3402	CHMP4C	PIK3C3	reaction	-	1
3403	CHMP6	PIK3C3	reaction	-	1
3404	CHMP7	PIK3C3	reaction	-	1
3405	CHRM1	GNAI2	PPrel: activation; complex; input	->	1
3406	CHRM1	GNAQ	PPrel: activation; complex; input	->	1
3407	CHRM1	GNAS	PPrel: activation; complex	->	1
3408	CHRM1	PKN1	activate	->	1
3409	CHRM2	GNAI2	PPrel: activation; complex; input	->	1
3410	CHRM2	GNAQ	PPrel: activation; complex; input	->	1
3411	CHRM2	PKN1	activate	->	1
3412	CHRM3	GNAI2	complex; input	-	1
3413	CHRM3	GNAQ	PPrel: activation; complex; input	->	1
3414	CHRM3	GNAS	PPrel: activation	->	1
3415	CHRM3	PKN1	activate	->	1
3416	CHRM4	GNAI2	PPrel: activation; complex; input	->	1
3417	CHRM4	GNAQ	complex; input	-	1
3418	CHRM4	PKN1	activate	->	1
3419	CHRM5	GNAI2	complex; input	-	1
3420	CHRM5	GNAQ	PPrel: activation; complex; input	->	1
3421	CHRM5	GNAS	PPrel: activation	->	1
3422	CHRM5	PKN1	activate	->	1
3423	CHRNA1	GNAQ	complex	-	1
3424	CHRNA4	EPX	predicted	-	0.65
3425	CHRNA9	MAVS	predicted	-	0.64
3426	CHRNB4	SP3	expression regulated by	<-	1
3427	CHTOP	CLP1	catalyzed by; complex; input	<-	1
3428	CHTOP	CPSF1	complex; input	-	1
3429	CHTOP	CPSF2	complex; input	-	1
3430	CHTOP	CPSF3	complex; input	-	1
3431	CHTOP	CPSF4	complex; input	-	1
3432	CHTOP	CPSF7	catalyzed by; complex; input	<-	1
3433	CHTOP	CSTF1	complex; input	-	1
3434	CHTOP	CSTF2	complex; input	-	1
3435	CHTOP	CSTF2T	complex; input	-	1
3436	CHTOP	CSTF3	complex; input	-	1
3437	CHTOP	DDX39A	complex; input	-	1
3438	CHTOP	DDX39B	complex; input	-	1
3439	CHTOP	DHX38	complex; input	-	1
3440	CHTOP	EIF4A3	complex; input	-	1
3441	CHTOP	FIP1L1	complex; input	-	1
3442	CHTOP	MAGOH	complex; input	-	1
3443	CHTOP	MAGOHB	complex; input	-	1
3444	CHTOP	NCBP1	complex; input	-	1
3445	CHTOP	NCBP2	complex; input	-	1
3446	CHTOP	NDC1	activated by; input	<-	1
3447	CHTOP	NUDT21	catalyzed by; complex; input	<-	1
3448	CHTOP	NUP107	activated by; input	<-	1
3449	CHTOP	NUP133	activated by; input	<-	1
3450	CHTOP	NUP153	activated by; input	<-	1
3451	CHTOP	NUP155	activated by; input	<-	1
3452	CHTOP	NUP160	activated by; input	<-	1
3453	CHTOP	NUP188	activated by; input	<-	1
3454	CHTOP	NUP205	activated by; input	<-	1
3455	CHTOP	NUP210	activated by; input	<-	1
3456	CHTOP	NUP214	activated by; input	<-	1
3457	CHTOP	NUP35	activated by; input	<-	1
3458	CHTOP	NUP37	activated by; input	<-	1
3459	CHTOP	NUP42	activated by; input	<-	1
3460	CHTOP	NUP43	activated by; input	<-	1
3461	CHTOP	NUP50	activated by; input	<-	1
3462	CHTOP	NUP54	activated by; input	<-	1
3463	CHTOP	NUP58	activated by; input	<-	1
3464	CHTOP	NUP62	activated by; input	<-	1
3465	CHTOP	NUP85	activated by; input	<-	1
3466	CHTOP	NUP88	activated by; input	<-	1
3467	CHTOP	NUP93	activated by; input	<-	1
3468	CHTOP	NUP98	activated by; input	<-	1
3469	CHTOP	NXF1	catalyze; complex; input	->	1
3470	CHTOP	NXF2	catalyze; complex; input	->	1
3471	CHTOP	NXT1	catalyze; complex; input	->	1
3472	CHTOP	PABPN1	complex; input	-	1
3473	CHTOP	PAPOLA	catalyzed by; complex; input	<-	1
3474	CHTOP	PCF11	catalyzed by; complex; input	<-	1
3475	CHTOP	POLDIP3	complex; input	-	1
3476	CHTOP	POM121	activated by; input	<-	1
3477	CHTOP	POM121C	activated by; input	<-	1
3478	CHTOP	PRMT1	predicted	-	0.99
3479	CHTOP	PRMT5	predicted	-	0.77
3480	CHTOP	RAE1	activated by; input	<-	1
3481	CHTOP	RANBP2	activated by; input	<-	1
3482	CHTOP	RBM8A	complex; input	-	1
3483	CHTOP	RNPS1	complex; input	-	1
3484	CHTOP	SARNP	complex; input	-	1
3485	CHTOP	SEC13	activated by; input	<-	1
3486	CHTOP	SEH1L	activated by; input	<-	1
3487	CHTOP	SLU7	complex; input	-	1
3488	CHTOP	SRPK2	predicted	-	0.64
3489	CHTOP	SRRM1	complex; input	-	1
3490	CHTOP	SRSF1	complex; input	-	1
3491	CHTOP	SRSF11	complex; input	-	1
3492	CHTOP	SRSF2	complex; input	-	1
3493	CHTOP	SRSF3	complex; input	-	1
3494	CHTOP	SRSF4	complex; input	-	1
3495	CHTOP	SRSF5	complex; input	-	1
3496	CHTOP	SRSF6	complex; input	-	1
3497	CHTOP	SRSF7	complex; input	-	1
3498	CHTOP	SRSF9	complex; input	-	1
3499	CHTOP	SUZ12	predicted	-	0.64
3500	CHTOP	SYMPK	complex; input	-	1
3501	CHTOP	THOC1	complex; input	-	1
3502	CHTOP	THOC2	complex; input	-	1
3503	CHTOP	THOC3	complex; input	-	1
3504	CHTOP	THOC5	complex; input	-	1
3505	CHTOP	THOC6	complex; input	-	1
3506	CHTOP	THOC7	complex; input	-	1
3507	CHTOP	TPR	activated by; input	<-	1
3508	CHTOP	U2AF1L4	complex; input	-	1
3509	CHTOP	U2AF1L5	complex; reaction	-	1
3510	CHTOP	U2AF2	complex; input	-	1
3511	CHTOP	UPF3B	complex; input	-	1
3512	CHTOP	WDR33	complex; input	-	1
3513	CHTOP	WDR77	predicted	-	0.64
3514	CHTOP	ZC3H11A	complex; input	-	1
3515	CHUK	MAVS	PPrel: activated by; PPrel: activated, indirect effect; catalyzed by; complex; input	<-	1
3516	CHUK	PIAS1	predicted	-	0.64
3517	CHUK	TBK1	predicted	-	1
3518	CHUK	TLR2	activated by	<-	1
3519	CIB1	UBR5	predicted	-	0.64
3520	CIRBP	CNOT3	predicted	-	0.64
3521	CISH	DCUN1D1	complex; input	-	1
3522	CITED1	USF2	expression regulated by	<-	1
3523	CKMT1A	EPHX1	predicted	-	0.78
3524	CLASP1	HTT	predicted	-	0.64
3525	CLASRP	SUGP2	predicted	-	0.56
3526	CLEC4M	ITGAM	predicted	-	0.64
3527	CLEC7A	TLR2	predicted	-	0.64
3528	CLGN	HSP90B1	predicted	-	0.99
3529	CLN3	TMEM33	predicted	-	0.64
3530	CLOCK	KMT2A	predicted	-	0.99
3531	CLOCK	RCOR1	predicted	-	0.64
3532	CLP1	CPSF1	catalyze; complex; input	->	1
3533	CLP1	CPSF2	catalyze; complex; input	->	1
3534	CLP1	CPSF3	catalyze; complex; input	->	1
3535	CLP1	CPSF4	catalyze; complex; input	->	1
3536	CLP1	CPSF7	catalyze; catalyzed by; complex; input	<->	1
3537	CLP1	CRNKL1	complex; input	-	1
3538	CLP1	CSTF1	catalyze; complex; input	->	1
3539	CLP1	CSTF2	catalyze; complex; input	->	1
3540	CLP1	CSTF2T	catalyze; complex; input	->	1
3541	CLP1	CSTF3	catalyze; complex; input	->	1
3542	CLP1	CTNNBL1	complex; input	-	1
3543	CLP1	CWC15	complex; input	-	1
3544	CLP1	CWC22	complex; input	-	1
3545	CLP1	CWC25	complex; input	-	1
3546	CLP1	CWC27	complex; input	-	1
3547	CLP1	DDX23	complex; input	-	1
3548	CLP1	DDX39A	catalyze; complex; input	->	1
3549	CLP1	DDX39B	catalyze; complex; input	->	1
3550	CLP1	DDX42	complex; input	-	1
3551	CLP1	DDX46	complex; input	-	1
3552	CLP1	DDX5	complex; input	-	1
3553	CLP1	DHX15	complex; input	-	1
3554	CLP1	DHX16	complex; input	-	1
3555	CLP1	DHX38	catalyze; complex; input	->	1
3556	CLP1	DHX9	complex; input	-	1
3557	CLP1	DNAJC8	complex; input	-	1
3558	CLP1	EFTUD2	complex; input	-	1
3559	CLP1	EIF4A3	catalyze; complex; input	->	1
3560	CLP1	ELAVL1	complex; input	-	1
3561	CLP1	ELAVL2	complex; input	-	1
3562	CLP1	FIP1L1	catalyze; complex; input	->	1
3563	CLP1	FUS	complex; input	-	1
3564	CLP1	GPKOW	complex; input	-	1
3565	CLP1	GTF2F1	complex; input	-	1
3566	CLP1	GTF2F2	complex; input	-	1
3567	CLP1	HNRNPA0	complex; input	-	1
3568	CLP1	HNRNPA1	complex; input	-	1
3569	CLP1	HNRNPA2B1	complex; input	-	1
3570	CLP1	HNRNPA3	complex; input	-	1
3571	CLP1	HNRNPC	complex; input	-	1
3572	CLP1	HNRNPD	complex; input	-	1
3573	CLP1	HNRNPF	complex; input	-	1
3574	CLP1	HNRNPH1	complex; input	-	1
3575	CLP1	HNRNPH2	complex; input	-	1
3576	CLP1	HNRNPK	complex; input	-	1
3577	CLP1	HNRNPL	complex; input	-	1
3578	CLP1	HNRNPM	complex; input	-	1
3579	CLP1	HNRNPR	complex; input	-	1
3580	CLP1	HNRNPU	complex; input	-	1
3581	CLP1	HNRNPUL1	complex; input	-	1
3582	CLP1	HSPA8	complex; input	-	1
3583	CLP1	ISY1	complex; input	-	1
3584	CLP1	LSM2	complex; input	-	1
3585	CLP1	LSM3	input	-	1
3586	CLP1	LSM4	input	-	1
3587	CLP1	LSM5	input	-	1
3588	CLP1	LSM6	input	-	1
